areasVerdesM2,popHabPHa,popTotal,popHomens,popBrancos,porcentagem_brancos,pop15a64,porcentagem_adultos,indiceEnvelhecimento,rendaMediacRendimento,rendaMedianacRendimento,area,area_verde,porcentagem_cobertura
1622321.89,30.56,13189,6434,10214,0.774433239821063,9373,0.7106679808931685,32.04,1709.45,1000.0,4316273.202266263,1622321.89,0.37586172468142154
807292.36,107.74,51425,23228,46875,0.9115216334467672,38947,0.7573553719008265,92.35,4253.57,2500.0,4773046.168446166,807292.36,0.16913566965617863
370152.07,62.03,11506,5266,10550,0.9169129150008691,8315,0.7226664349035286,92.58,2381.5966216216216,1467.4054054054054,1854919.7104189098,370152.07,0.19955153202636783
3610320.14,44.77,53671,25832,40918,0.7623856458795253,38724,0.7215069590654171,25.17,1262.61,1000.0,11987254.024518682,3610320.14,0.3011799143169458
130283.27,63.37,5548,2493,5113,0.9215933669790916,4165,0.7507209805335257,133.22,4101.11,3000.0,875482.6595274433,130283.27,0.14881307879966763
240380.72,57.43,8531,3889,7885,0.9242761692650334,6213,0.7282850779510023,133.2,3784.23,2500.0,1485485.1160961147,240380.72,0.16181967587243515
553222.04,38.31,15935,7668,12312,0.7726388453090681,11567,0.7258864135550674,25.19,1713.26,1000.0,4159365.11480329,553222.04,0.13300636629159296
4730818.32,7.19,6598,3294,4715,0.7146104880266747,4532,0.6868748105486511,13.39,1091.75,800.0,9172469.042719357,4730818.32,0.5157628003939774
1577492.73,33.67,23734,11032,20824,0.8773910845200977,17592,0.7412151344063369,79.75,3016.98,2000.0,7048656.508369606,1577492.73,0.22380048284760054
802173.83,64.03,46106,22047,36664,0.7952110354400729,33618,0.7291458812302086,32.82,1555.88,1000.0,7201072.364713488,802173.83,0.11139644060942809
1083020.51,49.76,18017,8411,14890,0.8264416939557085,13031,0.7232613642670811,49.51,1600.64,1000.0,3620670.207338836,1083020.51,0.29912155705449117
262466.44,62.6,10878,4795,10168,0.9347306490163633,7953,0.7311086596800882,177.78,6187.41,3505.5,1737732.5017499104,262466.44,0.1510396103748386
