Localidade,Ano,areasVerdesM2,areasVerdesM2porHab
Abranches,2019,"1622321,89","105,23"
Água Verde,2019,"807292,36","15,19"
Ahú,2019,"370152,07","31,1"
Alto Boqueirão,2019,"3610320,14","63,97"
Alto da Glória,2019,"130283,27","23,67"
Alto da Rua XV,2019,"240380,72","28,74"
Atuba,2019,"553222,04","28,27"
Augusta,2019,"4730818,32","478,84"
Bacacheri,2019,"1577492,73","64,58"
Bairro Alto,2019,"802173,83","15,86"
Barreirinha,2019,"1083020,51","56,66"
Batel,2019,"262466,44","26,55"
Bigorrilho,2019,"627450,04","21,15"
Boa Vista,2019,"944126,75","28,71"
Bom Retiro,2019,"425268,56","91,83"
Boqueirão,2019,"1837080,92","23,45"
Butiatuvinha,2019,"4727639,17","310,89"
Cabral,2019,"429632,6","29,56"
Cachoeira,2019,"1513181,02","136,95"
Cajuru,2019,"999982,07","9,68"
Campina do Siqueira,2019,"267661,56","35,38"
Campo Comprido,2019,"3605658,78","98,2"
Campo de Santana,2019,"6675209,47","139,27"
Capão da Imbuia,2019,"291073,85","14,61"
Capão Raso,2019,"334833,1","8,83"
Cascatinha,2019,"1158333,5","510,03"
Caximba,2019,"2775247,55","1078,29"
Centro,2019,"295045,6","6,96"
Centro cívico,2019,"210548,21","43,86"
Cidade Industrial de Curitiba,2019,"9335016,35","49,2"
Cristo Rei,2019,"232323,28","16,23"
Fanny,2019,"152364,38","16,89"
Fazendinha,2019,"428988,88","14,19"
Ganchinho,2019,"4966833,6","322,11"
Guabirotuba,2019,"351066,77","28,49"
Guaíra,2019,"213507,6","13,68"
Hauer,2019,"443322,62","34,84"
Hugo Lange,2019,"271921,74","74,71"
Jardim Botânico,2019,"614445,39","99,22"
Jardim das Américas,2019,"506449,34","30,15"
Jardim Social,2019,"456807,01","86,65"
Juvevê,2019,"176419,83","14,81"
Lamenha Pequena,2019,"2117105,93","1463,29"
Lindóia,2019,"96226,46","10,87"
Mercês,2019,"1137499,27","98,01"
Mossunguê,2019,"1334331,32","94,59"
Novo Mundo,2019,"476241,82","10,53"
Orleans,2019,"2031575,9","224,85"
Parolin,2019,"168714,55","15,22"
Pilarzinho,2019,"2355518,25","80,92"
Pinheirinho,2019,"1853709,38","36,22"
Portão,2019,"722859,09","16,14"
Prado Velho,2019,"372730,17","75,02"
Rebouças,2019,"315879,3","22,43"
Riviera,2019,"1345285,3","3506,3"
Santa Cândida,2019,"3890628,07","101,73"
Santa Felicidade,2019,"4054967,16","105,11"
Santa Quitéria,2019,"292054,54","23,43"
Santo Inácio,2019,"1250350,84","178,7"
São Braz,2019,"775208,37","32,24"
São Francisco,2019,"216044,79","37,29"
São João,2019,"1833105,47","511,1"
São Lourenço,2019,"725871,42","102,69"
São Miguel,2019,"2604640,63","563,64"
Seminário,2019,"480698,95","76,89"
Sítio Cercado,2019,"821189,74","6,32"
Taboão,2019,"859131,86","204,68"
Tarumã,2019,"654508,55","71,12"
Tatuquara,2019,"3032126,57","42,78"
Tingui,2019,"318386,37","24,21"
Uberaba,2019,"2008199,25","23,64"
Umbará,2019,"9265761,46","397,98"
Vila Izabel,2019,"200094,92","16,22"
Vista Alegre,2019,"1231472,42","97,77"
Xaxim,2019,"976257,06","16,29"
