,Localidade,num_obitos_covid,num_recuperados_covid,num_atendimentos_covid
0,ABRANCHES,58,4348,4411
1,AHÚ,44,3256,3300
2,ALTO BOQUEIRÃO,243,17526,17783
3,ALTO DA GLÓRIA,39,2274,2313
4,ALTO DA RUA XV,46,4553,4600
5,ATUBA,74,5770,5855
6,AUGUSTA,32,2328,2362
7,BACACHERI,134,8007,8149
8,BAIRRO ALTO,255,17297,17584
9,BARREIRINHA,123,6526,6650
10,BATEL,98,4780,4880
11,BIGORRILHO,118,9782,9901
12,BOA VISTA,151,9245,9398
13,BOM RETIRO,22,1827,1850
14,BOQUEIRÃO,417,25449,25897
15,BUTIATUVINHA,58,4006,4067
16,CABRAL,47,3596,3644
17,CACHOEIRA,35,3878,3916
18,CAJURU,556,32399,33001
19,CAMPINA DO SIQUEIRA,33,2113,2146
20,CAMPO COMPRIDO,120,10783,10913
21,CAMPO DE SANTANA,147,13722,13885
22,CAPÃO DA IMBUIA,104,6385,6494
23,CAPÃO RASO,210,14809,15042
24,CASCATINHA,12,904,917
25,CAXIMBA,11,1461,1473
26,CENTRO,223,13994,14235
27,CENTRO CÍVICO,33,1673,1707
28,CIDADE INDUSTRIAL DE CURITIBA,857,62603,63512
29,CRISTO REI,50,4436,4488
30,FANNY,45,3055,3105
31,FAZENDINHA,129,9466,9603
32,GANCHINHO,77,5231,5319
33,GUABIROTUBA,60,3444,3505
34,GUAÍRA,71,5700,5774
35,HAUER,94,6093,6189
36,HUGO LANGE,20,1004,1024
37,JARDIM BOTÂNICO,46,1820,1868
38,JARDIM DAS AMÉRICAS,74,3981,4060
39,JARDIM SOCIAL,20,1790,1813
40,JUVEVÊ,67,3269,3337
41,LAMENHA PEQUENA,2,240,243
42,LINDÓIA,47,3605,3653
43,MERCÊS,51,4339,4395
44,MOSSUNGUÊ,40,4597,4639
45,NOVO MUNDO,277,17125,17421
46,ORLEANS,27,2488,2520
47,PAROLIN,50,2917,2969
48,PILARZINHO,144,10055,10206
49,PINHEIRINHO,285,18865,19172
50,PORTÃO,170,13912,14093
51,PRADO VELHO,20,1894,1920
52,REBOUÇAS,83,6308,6402
53,RIVIERA,1,91,93
54,SANTA CÂNDIDA,201,14782,15006
55,SANTA FELICIDADE,165,12842,13014
56,SANTA QUITÉRIA,54,5131,5188
57,SANTO INÁCIO,28,2475,2509
58,SEMINÁRIO,32,2058,2093
59,SÃO BRAZ,140,8614,8763
60,SÃO FRANCISCO,42,2277,2321
61,SÃO JOÃO,14,1218,1234
62,SÃO LOURENÇO,28,1782,1811
63,SÃO MIGUEL,11,814,825
64,SÍTIO CERCADO,566,39739,40342
65,TABOÃO,10,961,971
66,TARUMÃ,30,1786,1818
67,TATUQUARA,259,20135,20412
68,TINGUI,74,4634,4713
69,UBERABA,342,25591,25958
70,UMBARÁ,90,7050,7143
71,VILA IZABEL,62,4648,4712
72,VISTA ALEGRE,46,3817,3864
73,XAXIM,284,21429,21726
74,ÁGUA VERDE,209,13569,13780
