Localidade,Ano,popTotal,popHomens,popBrancos,popTotal2,popHabPHa,pop15a64,indiceEnvelhecimento
Abranches,2010,13189,6434,10214,13189,"30,56",9373,"32,04"
Água Verde,2010,51425,23228,46875,51425,"107,74",38947,"92,35"
Ahú,2010,11506,5266,10550,11506,"62,03",8315,"92,58"
Alto Boqueirão,2010,53671,25832,40918,53671,"44,77",38724,"25,17"
Alto da Glória,2010,5548,2493,5113,5548,"63,37",4165,"133,22"
Alto da Rua XV,2010,8531,3889,7885,8531,"57,43",6213,"133,2"
Atuba,2010,15935,7668,12312,15935,"38,31",11567,"25,19"
Augusta,2010,6598,3294,4715,6598,"7,19",4532,"13,39"
Bacacheri,2010,23734,11032,20824,23734,"33,67",17592,"79,75"
Bairro Alto,2010,46106,22047,36664,46106,"64,03",33618,"32,82"
Barreirinha,2010,18017,8411,14890,18017,"49,76",13031,"49,51"
Batel,2010,10878,4795,10168,10878,"62,6",7953,"177,78"
Bigorrilho,2010,28336,12813,26269,28336,"97,83",21953,"99,91"
Boa Vista,2010,31052,14436,26368,31052,"59,44",22941,"61,61"
Bom Retiro,2010,5156,2373,4664,5156,"27,16",3656,"121,89"
Boqueirão,2010,73178,35120,58745,73178,"49,63",52870,"34,72"
Butiatuvinha,2010,12876,6274,11013,12876,"12,33",9256,"33,48"
Cabral,2010,13060,5941,11963,13060,"64,44",9863,"71,24"
Cachoeira,2010,9314,4562,6666,9314,"28,91",6481,"24,97"
Cajuru,2010,96200,46252,67864,96200,"81,57",68439,"30,16"
Campina do Siqueira,2010,7326,3383,6670,7326,"43,16",5428,"68,86"
Campo Comprido,2010,28816,13686,23604,28969,"33,8",21340,"22,67"
Campo de Santana,2010,26657,13194,17443,27158,"12,59",18415,"8,3"
Capão da Imbuia,2010,20473,9613,16686,36065,"110,99",14910,"56,84"
Capão Raso,2010,36065,17237,30136,20473,"40,54",26216,"41,45"
Cascatinha,2010,2161,1017,1893,2161,"9,9",1574,"43,87"
Caximba,2010,2522,1275,1872,2522,"3,07",1679,"18,4"
Centro,2010,37283,16925,31217,37283,"113,56",29399,"176,44"
Centro cívico,2010,4783,2083,4307,4783,"50,5",3546,"166,59"
Cidade Industrial de Curitiba,2010,172822,83753,122006,172669,"38,97",123837,"20,17"
Cristo Rei,2010,13795,6285,12373,13795,"95,34",10916,"91,3"
Fanny,2010,8415,3992,7129,8415,"41,69",6199,"52,93"
Fazendinha,2010,28074,13549,21326,28074,"75,39",20414,"29,28"
Ganchinho,2010,11178,5520,6867,11178,"9,84",7456,"11,1"
Guabirotuba,2010,11461,5423,9633,11461,"43,18",8161,"68,88"
Guaíra,2010,14904,7173,11643,14904,"64,48",10677,"44,51"
Hauer,2010,13315,6227,11203,13315,"33,37",9701,"58,23"
Hugo Lange,2010,3392,1566,3153,3392,"28,64",2352,"119,41"
Jardim Botânico,2010,6172,2823,4979,6172,"22,39",4440,"101,86"
Jardim das Américas,2010,15313,7382,13118,15313,"39,68",11280,"71,91"
Jardim Social,2010,5698,2596,5321,5698,"29,1",3865,"136,52"
Juvevê,2010,11582,5074,10710,11582,94,8485,"122,81"
Lamenha Pequena,2010,1056,519,789,1056,"3,01",715,"25,83"
Lindóia,2010,8584,4101,6645,8584,"72,63",6174,"39,87"
Mercês,2010,12907,5826,11762,12907,"35,92",9314,"113,36"
Mossunguê,2010,9664,4632,8647,9664,"28,72",7189,"24,75"
Novo Mundo,2010,44063,21031,36064,44063,"74,07",32357,"41,6"
Orleans,2010,8105,3936,6745,8105,"15,82",5862,"38,97"
Parolin,2010,11554,5559,8225,11554,"51,16",7777,"38,1"
Pilarzinho,2010,28480,13564,22630,28480,"40,09",20544,"41,71"
Pinheirinho,2010,50401,24670,38319,50401,"47,94",36274,"23,91"
Portão,2010,42662,19736,37162,42662,"72,82",32026,"60,23"
Prado Velho,2010,6077,2954,3563,6077,"24,97",4198,"35,67"
Rebouças,2010,14888,6907,12579,14888,"50,19",11544,"116,3"
Riviera,2010,289,146,208,289,"1,19",211,"34,48"
Santa Cândida,2010,32808,15648,25371,32808,"32,19",23821,"29,72"
Santa Felicidade,2010,31572,15079,27376,31572,"25,93",22968,"37,14"
Santa Quitéria,2010,12075,5682,9742,12075,"57,39",8548,"67,24"
Santo Inácio,2010,6494,3180,5532,6494,"19,34",4800,"42,47"
São Braz,2010,23559,11305,19642,23559,"46,56",17088,"37,92"
São Francisco,2010,6130,2749,5454,6130,"45,26",4620,"134,11"
São João,2010,3253,1559,2622,3253,"10,71",2353,"36,78"
São Lourenço,2010,6276,2987,5631,6276,"27,59",4566,"68,97"
São Miguel,2010,4773,2422,3221,4773,"6,33",3252,"11,59"
Seminário,2010,6851,3097,6290,6851,"32,26",4963,"124,49"
Sítio Cercado,2010,115525,56132,80162,115525,"103,15",82913,"17,14"
Taboão,2010,3396,1619,2759,3396,"18,58",2465,"32,43"
Tarumã,2010,8072,3839,6778,8072,"19,36",5912,"75,47"
Tatuquara,2010,52780,26094,34336,52279,"46,53",35815,"10,22"
Tingui,2010,12319,5819,10597,12319,"57,26",9024,"54,4"
Uberaba,2010,72056,34959,54586,72056,"50,71",51312,"25,46"
Umbará,2010,18730,9270,14303,18730,"8,34",13094,"16,35"
Vila Izabel,2010,11610,5269,10555,11610,"95,44",8836,"75,57"
Vista Alegre,2010,11199,5290,9689,11199,"30,28",7941,"55,81"
Xaxim,2010,57182,27599,45985,57182,"62,94",41396,"31,57"
