Localidade,Ano,Rendimento Nominal Mensal Médio das Pessoas de 10 Anos ou Mais de Idade - Total (Real),Rendimento Nominal Mensal Mediano das Pessoas de 10 Anos ou Mais de Idade - Total (Real),Rendimento Nominal Mensal Médio das Pessoas de 10 Anos ou Mais de Idade - Com Rendimento (Real),Rendimento Nominal Mensal Mediano das Pessoas de 10 Anos ou Mais de Idade - Com Rendimento  (Real)
Abranches,2010,"1179,72",650,"1709,45",1000
Água Verde,2010,"3170,07",1511,"4253,57",2500
Ahú,2010,"3054,92",1500,"4238,62",2500
Alto Boqueirão,2010,"867,36",650,"1262,61",1000
Alto da Glória,2010,"3054,18",2000,"4101,11",3000
Alto da Rua XV,2010,"2854,97",1500,"3784,23",2500
Atuba,2010,"1203,26",700,"1713,26",1000
Augusta,2010,"731,64",520,"1091,75",800
Bacacheri,2010,"2216,4",1200,"3016,98",2000
Bairro Alto,2010,"1116,57",700,"1555,88",1000
Barreirinha,2010,"1163,49",750,"1600,64",1000
Batel,2010,"4140,7",1700,"6187,41","3505,5"
Bigorrilho,2010,"3729,56",2000,"4952,38",3000
Boa Vista,2010,"1600,36",1000,"2174,57",1400
Bom Retiro,2010,"2119,34",1000,"2934,14",1800
Boqueirão,2010,"1109,87",700,"1602,85",1000
Butiatuvinha,2010,"1196,67",600,"1771,74",1000
Cabral,2010,"3519,61",2000,"4669,13",3000
Cachoeira,2010,"814,3",600,"1172,91",800
Cajuru,2010,"873,67",600,"1275,31",900
Campina do Siqueira,2010,"2287,19",1100,"3083,02",1900
Campo Comprido,2010,"1784,4",800,"2486,19",1200
Campo de Santana,2010,"627,14",580,"948,02",800
Capão da Imbuia,2010,"1253,43",800,"1766,95",1100
Capão Raso,2010,"1127,82",760,"1583,19",1020
Cascatinha,2010,"2222,34",1000,"3062,88",1500
Caximba,2010,"559,51",510,"896,94",700
Centro,2010,"2393,49",1300,"3089,91",2000
Centro Cívico,2010,"3170,22",2000,"3979,43",2600
Cidade Industrial de Curitiba,2010,"779,67",600,"1137,65",850
Cristo Rei,2010,"2856,15",1800,"3711,95",2500
Fanny,2010,"1308,01",800,"1844,16",1200
Fazendinha,2010,"984,18",700,"1379,68",1000
Ganchinho,2010,"615,91",510,"949,09",750
Guabirotuba,2010,"1746,35",1000,"2488,2",1500
Guaí­ra,2010,"1191,34",700,"1696,24",1021
Hauer,2010,"1336,02",800,"1869,35",1200
Hugo Lange,2010,"3143,61",1500,"4391,36",2500
Jardim Botânico,2010,"1853,29",1000,"2492,19",1500
Jardim das Américas,2010,"2164,6",1100,"3062,9",2000
Jardim Social,2010,"3265,9",1500,"4779,28",3000
Juvevê,2010,"3323,66",1800,"4445,87",3000
Lamenha Pequena,2010,"815,34",600,"1102,01",800
Lindóia,2010,"978,59",650,"1390,58",1000
Mercês,2010,"2236,09",1100,"3037,18",1800
Mossunguê,2010,"3583,9",1200,"5039,38",2500
Novo Mundo,2010,"1231,25",800,"1726,69",1100
Orleans,2010,"1344,47",700,"1941,71",1150
Parolin,2010,"1184,42",600,1734,1000
Pilarzinho,2010,"1272,11",700,"1839,08",1000
Pinheirinho,2010,"844,62",600,"1251,29",900
Portão,2010,"1861,34",1000,"2575,5",1750
Prado Velho,2010,"691,78",510,"1065,29",700
Rebouças,2010,"2163,96",1200,"2831,12",1800
Riviera,2010,"770,79",510,"1170,29",800
Santa Cândida,2010,"1050,12",680,"1471,8",1000
Santa Felicidade,2010,"1652,46",800,"2352,71",1200
Santa Quitéria,2010,"1462,02",800,"2019,3",1100
Santo Inácio,2010,"1785,67",800,"2568,38",1200
São Braz,2010,"1341,31",700,"1891,37",1000
São Francisco,2010,"2234,31",1200,"2837,3",1800
São João,2010,"1816,3",700,"2567,21",1000
São Lourenço,2010,"2599,6",1020,"3569,4",2000
São Miguel,2010,578,510,"854,89",700
Seminário,2010,"3088,78",1400,"4103,1",2000
Sí­tio Cercado,2010,"726,28",600,"1066,8",800
Taboão,2010,"1381,97",700,"1867,66",1000
Tarumã,2010,"2100,23",1000,"2973,8",1960
Tatuquara,2010,"590,06",510,"903,64",750
Tingui,2010,"1370,39",800,"1902,94",1200
Uberaba,2010,"1101,82",600,"1623,51",1000
Umbará,2010,"762,65",600,"1164,04",850
Vila Izabel,2010,"2467,22",1500,"3390,9","2181,5"
Vista Alegre,2010,"2036,11",810,"2898,74",1500
Xaxim,2010,"1040,56",700,"1532,17",1000
<br/><br/>,,,,,
