Localidade,populacao_por_hectare,porcentagem_brancos,porcentagem_adultos,indiceEnvelhecimento,rendaMediacRendimento,rendaMedianacRendimento,porcentagem_cobertura,taxa_atendimentos_covid
CAMPO DE SANTANA,12.59,0.6543497017668904,0.6908129196833852,8.3,948.02,800.0,0.3093318235446509,0.5208763176651536
ALTO DA RUA XV,57.43,0.9242761692650334,0.7282850779510023,133.2,3784.23,2500.0,0.1618196758724351,0.5392099402180284
GANCHINHO,9.84,0.6143317230273752,0.6670245124351405,11.1,949.09,750.0,0.4372481275989666,0.4758454106280193
SANTA FELICIDADE,25.93,0.8670974281008489,0.7274800456100342,37.14,2352.71,1200.0,0.3330296397394439,0.4122006841505131
TABOÃO,18.58,0.8124263839811543,0.7258539458186102,32.43,1867.66,1000.0,0.4700944249633204,0.285924617196702
JARDIM DAS AMÉRICAS,39.68,0.8566577417880232,0.7366290080323907,71.91,3062.9,2000.0,0.131237354274037,0.2651341996996016
JARDIM SOCIAL,29.1,0.933836433836434,0.6783081783081784,136.52,4779.28,3000.0,0.2332526061647563,0.3181818181818182
BUTIATUVINHA,12.33,0.8553122087604846,0.7188567878223051,33.48,1771.74,1000.0,0.4528840217868429,0.3158589624106865
MERCÊS,35.92,0.9112884481289224,0.721623925001937,113.36,3037.18,1800.0,0.3165520218006141,0.3405128999767568
MOSSUNGUÊ,28.72,0.8947640728476821,0.7438948675496688,24.75,5039.38,2500.0,0.3964805174923272,0.4800289735099338
CRISTO REI,95.34,0.8969191736136282,0.7913011960855383,91.3,3711.95,2500.0,0.1605560063662577,0.3253352664008699
AUGUSTA,7.19,0.7146104880266747,0.6868748105486511,13.39,1091.75,800.0,0.5157628003939774,0.3579872688693543
SANTO INÁCIO,19.34,0.8518632583923622,0.7391438250692948,42.47,2568.38,1200.0,0.372321504873945,0.3863566368955959
ORLEANS,15.82,0.8322023442319556,0.7232572486119679,38.97,1941.71,1150.0,0.3966072985792948,0.310919185687847
FANNY,41.69,0.8471776589423649,0.736660724896019,52.93,1844.16,1200.0,0.075490662811759,0.3689839572192513
REBOUÇAS,50.19,0.8449086512627619,0.7753895754970446,116.3,2831.12,1800.0,0.1064949784079331,0.4300107469102633
PINHEIRINHO,47.94,0.7602825340767049,0.719707942302732,23.91,1251.29,900.0,0.1763121638562106,0.3803892779905161
CAJURU,81.57,0.7054469854469855,0.7114241164241164,30.16,1275.31,900.0,0.0847884676413674,0.343045738045738
SÃO LOURENÇO,27.59,0.8972275334608031,0.7275334608030593,68.97,3569.4,2000.0,0.3191084350659621,0.288559592096877
CASCATINHA,9.9,0.8759833410458121,0.7283664969921333,43.87,3062.88,1500.0,0.5308242326185073,0.4243405830633965
XAXIM,62.94,0.8041866321569725,0.7239341051379805,31.57,1532.17,1000.0,0.1074535348206502,0.3799447378545696
BOA VISTA,59.44,0.8491562540255057,0.7387929923998454,61.61,2174.57,1400.0,0.180738819294519,0.3026536132938297
RIVIERA,1.19,0.7197231833910035,0.7301038062283737,34.48,1170.29,800.0,0.5520922603787444,0.3217993079584775
ALTO BOQUEIRÃO,44.77,0.7623856458795253,0.7215069590654171,25.17,1262.61,1000.0,0.3011799143169458,0.331333494810978
CABRAL,64.44,0.9160030627871364,0.7552067381316998,71.24,4669.13,3000.0,0.2119976796125309,0.2790199081163859
JARDIM BOTÂNICO,22.39,0.8067077122488658,0.7193778353856124,101.86,2492.19,1500.0,0.2228755797826943,0.3026571613739469
BACACHERI,33.67,0.8773910845200977,0.7412151344063369,79.75,3016.98,2000.0,0.2238004828476005,0.3433470969916575
VILA IZABEL,95.44,0.909130060292851,0.761068044788975,75.57,3390.9,2181.5,0.1644784596059906,0.4058570198105082
ATUBA,38.31,0.7726388453090681,0.7258864135550674,25.19,1713.26,1000.0,0.1330063662915929,0.3674301851270787
HAUER,33.37,0.8413819001126549,0.7285767930904994,58.23,1869.35,1200.0,0.1111073686151794,0.4648141194141945
TATUQUARA,46.53,0.6505494505494506,0.6785714285714286,10.22,903.64,750.0,0.2698870653545902,0.386737400530504
SANTA CÂNDIDA,32.19,0.7733174835405998,0.726072909046574,29.72,1471.8,1000.0,0.3817417653981191,0.4573884418434528
NOVO MUNDO,74.07,0.8184644713251481,0.7343349295327145,41.6,1726.69,1100.0,0.0800562216857642,0.3953657263463677
VISTA ALEGRE,30.28,0.8651665327261363,0.7090811679614252,55.81,2898.74,1500.0,0.3329340527899809,0.345030806321993
BOQUEIRÃO,49.63,0.8027685916532291,0.7224848998332832,34.72,1602.85,1000.0,0.1245989769002805,0.3538905135423215
CENTRO,113.56,0.837298500657136,0.7885363302309364,176.44,3089.91,2000.0,0.0898706875971639,0.3818094037496982
JUVEVÊ,94.0,0.9247107580728716,0.732602313935417,122.81,4445.87,3000.0,0.1431860310382446,0.2881194957692972
CAXIMBA,3.07,0.7422680412371134,0.6657414750198255,18.4,896.94,700.0,0.337817568219384,0.58406026962728
PAROLIN,51.16,0.711874675437078,0.6731002250302925,38.1,1734.0,1000.0,0.0747079541218781,0.2569672840574692
CAPÃO RASO,40.54,0.8356023845833911,0.7269097462914182,41.45,1583.19,1020.0,0.0663056859569429,0.4170802717315957
LINDÓIA,72.63,0.7741146318732526,0.7192451071761417,39.87,1390.58,1000.0,0.0814246224161267,0.4255591798695247
