Localidade,populacao_por_hectare,porcentagem_brancos,porcentagem_adultos,indiceEnvelhecimento,rendaMediacRendimento,rendaMedianacRendimento,porcentagem_cobertura,taxa_obitos_covid,taxa_atendimentos_covid,taxa_atendimentos_dengue,taxa_atendimentos_saude,taxa_unidades_saude,preds
ABRANCHES,30.56,0.774433239821063,0.7106679808931685,32.04,1709.45,1000.0,0.3758617246814215,0.0043976040639927,0.3344453711426188,0.0035635757070285,0.6616877701114565,0.000151641519448,0.33444537114261846
ÁGUA VERDE,107.74,0.9115216334467672,0.7573553719008265,92.35,4253.57,2500.0,0.1691356696561786,0.0040641711229946,0.2679630529897909,0.0024501701507049,0.0,0.0001944579484686,0.26796305298979123
AHÚ,62.03,0.9169129150008692,0.7226664349035286,92.58,2381.5966216216216,1467.4054054054054,0.1995515320263678,0.0038240917782026,0.2868068833652007,0.0019120458891013,0.0,8.691117677733357e-05,0.28680688336520105
ALTO BOQUEIRÃO,44.77,0.7623856458795253,0.7215069590654171,25.17,1262.61,1000.0,0.3011799143169458,0.0045275847291833,0.331333494810978,0.0160794470011738,0.0,7.452814369026104e-05,0.3313334948109777
ALTO DA GLÓRIA,63.37,0.9215933669790916,0.7507209805335257,133.22,4101.11,3000.0,0.1488130787996676,0.0070295602018745,0.4169069935111752,0.0043258832011535,0.0,0.0005407354001441,0.4169069935111759
ALTO DA RUA XV,57.43,0.9242761692650334,0.7282850779510023,133.2,3784.23,2500.0,0.1618196758724351,0.0053920994021802,0.5392099402180284,0.0031649279099753,0.1638729340053921,0.0010549759699917,0.5392099402180291
ATUBA,38.31,0.7726388453090681,0.7258864135550674,25.19,1713.26,1000.0,0.1330063662915929,0.0046438657044242,0.3674301851270787,0.0345152180734232,0.6383432695324757,0.0001255098839033,0.37547767631528345
AUGUSTA,7.19,0.7146104880266747,0.6868748105486511,13.39,1091.75,800.0,0.5157628003939774,0.0048499545316762,0.3579872688693543,0.0015156107911488,1.414216429220976,0.0001515610791148,0.3579872688693543
BACACHERI,33.67,0.8773910845200977,0.7412151344063369,79.75,3016.98,2000.0,0.2238004828476005,0.0056459088227858,0.3433470969916575,0.0048875031600235,0.3766326788573355,0.0002106682396561,0.30028216145436404
BAIRRO ALTO,64.03,0.7952110354400729,0.7291458812302086,32.82,1555.88,1000.0,0.111396440609428,0.0055307335270897,0.3813820327072398,0.0198455732442632,0.7102112523315838,8.675660434650588e-05,0.38138203270723925
BARREIRINHA,49.76,0.8264416939557085,0.7232613642670811,49.51,1600.64,1000.0,0.2991215570544911,0.0068268857190431,0.3690958539157462,0.0031636787478492,0.6941777210412389,0.0001110062718543,0.3690958539157456
BATEL,62.6,0.9347306490163632,0.7311086596800882,177.78,6187.41,3505.5,0.1510396103748386,0.009009009009009,0.4486118771833057,0.0031255745541459,0.1405589262732119,0.0011031439602868,0.4486118771833055
BIGORRILHO,97.83,0.927053924336533,0.7747388481084133,99.91,4952.38,3000.0,0.2166207032491645,0.0041643139469226,0.349414172783738,0.0022939017504234,0.1461038961038961,0.000105872388481,0.34941417278373854
BOA VISTA,59.44,0.8491562540255057,0.7387929923998454,61.61,2174.57,1400.0,0.180738819294519,0.0048628107690325,0.3026536132938297,0.0051848512173128,0.4121473657091331,3.22040448280304e-05,0.3534966506961851
BOM RETIRO,27.16,0.904577191621412,0.7090768037238169,121.89,2934.14,1800.0,0.2240374805411139,0.004266873545384,0.3588052754072924,0.0029092319627618,0.2882079131109387,0.0001939487975174,0.3588052754072921
BOQUEIRÃO,49.63,0.8027685916532291,0.7224848998332832,34.72,1602.85,1000.0,0.1245989769002805,0.0056984339555604,0.3538905135423215,0.0079668752903878,0.0,0.0001229877832135,0.3538905135423217
BUTIATUVINHA,12.33,0.8553122087604846,0.7188567878223051,33.48,1771.74,1000.0,0.4528840217868429,0.0045045045045045,0.3158589624106865,0.0027182354768561,0.6247281764523144,7.766387076731904e-05,0.3158589624106866
CABRAL,64.44,0.9160030627871364,0.7552067381316998,71.24,4669.13,3000.0,0.2119976796125309,0.0035987748851454,0.2790199081163859,0.0023736600306278,0.0882848392036753,7.656967840735069e-05,0.2790199081163856
CACHOEIRA,28.91,0.7156968005153532,0.695834228043805,24.97,1172.91,800.0,0.4696969482570187,0.0037577839811037,0.4204423448572042,0.0035430534678977,0.9542624006871376,0.0001073652566029,0.42044234485720466
CAJURU,81.57,0.7054469854469855,0.7114241164241164,30.16,1275.31,900.0,0.0847884676413674,0.0057796257796257,0.343045738045738,0.0223076923076923,0.7403014553014553,8.316008316008316e-05,0.3430457380457383
CAMPINA DO SIQUEIRA,43.16,0.9104559104559105,0.7409227409227409,68.86,3083.02,1900.0,0.1576778434971911,0.0045045045045045,0.2929292929292929,0.002047502047502,0.2959322959322959,0.0001365001365001,0.2929292929292934
CAMPO COMPRIDO,33.8,0.8191282620766241,0.7405607995558023,22.67,2486.19,1200.0,0.4207385103912305,0.004164353137146,0.3787132148806219,0.0035744031093836,0.61805941143809,0.0001388117712382,0.3938918746891179
CAMPO DE SANTANA,12.59,0.6543497017668904,0.6908129196833852,8.3,948.02,800.0,0.3093318235446509,0.0055144990058896,0.5208763176651536,0.0384889522451888,1.4366958022283078,0.0001125407960385,0.3515564492396869
CAPÃO DA IMBUIA,110.99,0.8150246666341034,0.7282762663019586,56.84,1766.95,1100.0,0.0895809923467227,0.0050798612807111,0.3171982611244077,0.0081570849411419,0.0,4.884482000683827e-05,0.391361678248464
